"","Year","Month","Rain","Lat","Lon"
"1",2019,4,55.7468,-43.5147091631866,146.270634523465
"2",2019,4,50.2975,-43.5147091631866,146.534387636455
"3",2019,4,41.4099,-43.5147091631866,146.798140749444
"4",2019,4,50.6682,-43.2509560501972,146.006881410476
"5",2019,4,58.5602,-43.2509560501972,146.270634523465
"6",2019,4,50.9566,-43.2509560501972,146.534387636455
"7",2019,4,37.8514,-43.2509560501972,146.798140749444
"8",2019,4,29.5858,-43.2509560501972,147.061893862434
"9",2019,4,39.1003,-42.9872029372077,145.743128297486
"10",2019,4,46.8308,-42.9872029372077,146.006881410476
"11",2019,4,41.9874,-42.9872029372077,146.270634523465
"12",2019,4,42.8106,-42.9872029372077,146.534387636455
"13",2019,4,58.3476,-42.9872029372077,146.798140749444
"14",2019,4,37.8946,-42.9872029372077,147.061893862434
"15",2019,4,31.8005,-42.9872029372077,147.325646975423
"16",2019,4,37.9267,-42.9872029372077,147.853153201402
"17",2019,4,30.856,-42.7234498242182,145.479375184497
"18",2019,4,45.2253,-42.7234498242182,145.743128297486
"19",2019,4,58.133,-42.7234498242182,146.006881410476
"20",2019,4,44.1833,-42.7234498242182,146.270634523465
"21",2019,4,42.0304,-42.7234498242182,146.534387636455
"22",2019,4,39.8013,-42.7234498242182,146.798140749444
"23",2019,4,32.4898,-42.7234498242182,147.061893862434
"24",2019,4,35.5583,-42.7234498242182,147.325646975423
"25",2019,4,30.1728,-42.7234498242182,147.589400088412
"26",2019,4,24.4799,-42.7234498242182,147.853153201402
"27",2019,4,34.235,-42.4596967112287,145.479375184497
"28",2019,4,53.3333,-42.4596967112287,145.743128297486
"29",2019,4,56.8541,-42.4596967112287,146.006881410476
"30",2019,4,50.1782,-42.4596967112287,146.270634523465
"31",2019,4,36.5766,-42.4596967112287,146.534387636455
"32",2019,4,33.4836,-42.4596967112287,146.798140749444
"33",2019,4,32.4999,-42.4596967112287,147.061893862434
"34",2019,4,35.8399,-42.4596967112287,147.325646975423
"35",2019,4,31.213,-42.4596967112287,147.589400088412
"36",2019,4,24.9165,-42.4596967112287,147.853153201402
"37",2019,4,40.4863,-42.1959435982392,145.479375184497
"38",2019,4,63.238,-42.1959435982392,145.743128297486
"39",2019,4,47.3857,-42.1959435982392,146.006881410476
"40",2019,4,37.494,-42.1959435982392,146.270634523465
"41",2019,4,39.6094,-42.1959435982392,146.534387636455
"42",2019,4,24.1108,-42.1959435982392,146.798140749444
"43",2019,4,32.688,-42.1959435982392,147.061893862434
"44",2019,4,23.0697,-42.1959435982392,147.325646975423
"45",2019,4,32.8462,-42.1959435982392,147.589400088412
"46",2019,4,19.8817,-42.1959435982392,147.853153201402
"47",2019,4,45.6742,-41.9321904852497,145.215622071507
"48",2019,4,59.3454,-41.9321904852497,145.479375184497
"49",2019,4,55.3916,-41.9321904852497,145.743128297486
"50",2019,4,40.7028,-41.9321904852497,146.006881410476
"51",2019,4,44.5017,-41.9321904852497,146.270634523465
"52",2019,4,46.0164,-41.9321904852497,146.534387636455
"53",2019,4,35.8528,-41.9321904852497,146.798140749444
"54",2019,4,38.2401,-41.9321904852497,147.061893862434
"55",2019,4,35.5881,-41.9321904852497,147.325646975423
"56",2019,4,31.1583,-41.9321904852497,147.589400088412
"57",2019,4,21.3862,-41.9321904852497,147.853153201402
"58",2019,4,17.1163,-41.9321904852497,148.116906314391
"59",2019,4,35.2954,-41.6684373722603,144.951868958518
"60",2019,4,54.2829,-41.6684373722603,145.215622071507
"61",2019,4,41.772,-41.6684373722603,145.479375184497
"62",2019,4,44.3706,-41.6684373722603,145.743128297486
"63",2019,4,43.7993,-41.6684373722603,146.006881410476
"64",2019,4,45.8762,-41.6684373722603,146.270634523465
"65",2019,4,47.3069,-41.6684373722603,146.534387636455
"66",2019,4,36.1174,-41.6684373722603,146.798140749444
"67",2019,4,31.2853,-41.6684373722603,147.061893862434
"68",2019,4,23.3662,-41.6684373722603,147.325646975423
"69",2019,4,20.8408,-41.6684373722603,147.589400088412
"70",2019,4,18.8452,-41.6684373722603,147.853153201402
"71",2019,4,16.6673,-41.6684373722603,148.116906314391
"72",2019,4,27.2631,-41.4046842592708,144.951868958518
"73",2019,4,38.1018,-41.4046842592708,145.215622071507
"74",2019,4,36.4726,-41.4046842592708,145.479375184497
"75",2019,4,65.9522,-41.4046842592708,145.743128297486
"76",2019,4,45.8088,-41.4046842592708,146.006881410476
"77",2019,4,50.3585,-41.4046842592708,146.270634523465
"78",2019,4,46.8815,-41.4046842592708,146.534387636455
"79",2019,4,45.4443,-41.4046842592708,146.798140749444
"80",2019,4,19.4265,-41.4046842592708,147.061893862434
"81",2019,4,33.4221,-41.4046842592708,147.325646975423
"82",2019,4,27.9536,-41.4046842592708,147.589400088412
"83",2019,4,17.8836,-41.4046842592708,147.853153201402
"84",2019,4,20.0563,-41.4046842592708,148.116906314391
"85",2019,4,30.2096,-41.1409311462813,144.688115845528
"86",2019,4,31.9594,-41.1409311462813,144.951868958518
"87",2019,4,31.9092,-41.1409311462813,145.215622071507
"88",2019,4,31.4202,-41.1409311462813,145.479375184497
"89",2019,4,30.5427,-41.1409311462813,145.743128297486
"90",2019,4,42.1176,-41.1409311462813,146.006881410476
"91",2019,4,33.0569,-41.1409311462813,146.534387636455
"92",2019,4,14.8108,-41.1409311462813,147.061893862434
"93",2019,4,16.347,-41.1409311462813,147.325646975423
"94",2019,4,16.3135,-41.1409311462813,147.589400088412
"95",2019,4,12.8374,-41.1409311462813,147.853153201402
"96",2019,4,13.6374,-41.1409311462813,148.116906314391
"97",2019,4,14.5154,-40.8771780332918,144.951868958518
